,X,National.Reference,LIMS.number,CB.18,CB.28,CB.31,CB.44,CB.47,CB.49,CB.52,CB.66,CB.101,CB.105,CB.110,CB.118,CB.128,CB.138,CB.141,CB.149,CB.151,CB.153,CB.156,CB.158,CB.170,CB.180,CB.183,CB.187,CB.194,LIPID,HCB,AHCH,BHCH,GHCH,DIELDRIN,PPDDE,PPTDE,PPDDT,BDE.17,BDE.28,BDE.47,BDE.66,BDE.85,BDE.99,BDE.100,BDE.138,BDE.153,BDE.154,BDE.183,A.HBCD,B.HBCD,G.HBCD,Tissue,source,Class,Event,Species..scientific.,Species..common.,Species.Uncertain,Date.Found,Date.Certainty,Year,Location,Local.Authority,Region,Country,Grid.Ref,Easting,Northing,Latitude,Longitude,Sex,Length,Length.Uncertain,Euthanased,Stranding.Type,Condition.Found...Stranding.Outcome,Stranding.data.Stage,Sent.for.PM,Project,PM.Number,Histology.Number,Age.Group,PM.Date,Condition.at.PM,Frozen,Pathologist,Cause.of.Death,Cause.of.Death.Category,Cause.of.Death.Class,Live.Stranding..diagnosed.,PM.Summary,Age..yr.,Body.Weight..kg.,Length..PM...cm.,Girth..cm.,Dorsal.Blubber..mm.,Lateral.Blubber..mm.,Ventral.Blubber..mm.,Heart.Weight..g.,L.Testis..g.,R.Testis..g.,NMS.No,M.Ref,na_count,Lateral.Blubber..mm..1,Total_DDT,TotalCBs,TotalPBDEs,Speciescode,Date.found3,NOD,Rel.body.wt,resm4,Areaau,AreaAU2
1,21,SW1994/63,2004/02631,0.013667426,0.010250569,0,0.023917995,0.071753986,0.101366743,0.296127563,0.375854214,0.62642369,0.148063781,0.046697039,0.649202733,0.284738041,2.164009112,0.066059226,1.138952164,0.410022779,3.075170843,0,0.113895216,0.364464692,0.865603645,0.239179954,0.89977221,0.078587699,87.8,0.193621868,0.027334852,0.001025057,0.047835991,0.101366743,1.708428246,0.740318907,0.62642369,0.001138952,0.020501139,1.366742597,0.019362187,0.001138952,0.307517084,0.239179954,0.001138952,0.033029613,0.043280182,0.001138952,0.072892938,0.00284738,0.00284738,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,24/04/1994,exact,1994,"Chantry Point, Orford",Suffolk,East coast,England,TM42004800,642000,248000,52.07695924,1.532043652,F,127,FALSE,FALSE,dead stranded,freshly dead (code 2a),verified,TRUE,EW,XT182/94,182/94,juvenile,29/04/1994,freshly dead (code 2a),FALSE,Paul Jepson,"physical trauma, boat propeller","Physical Trauma, Boat/Ship Strike",Trauma,FALSE,,2,34,127,82,22,23,22,NA,NA,NA,NA,,1,NA,3.075170843,12.06378132,2.034168565,HP,24/04/1994,1574,0.104248449,-0.025268711,Greater North Sea,Southern North Sea
2,54,SW1996/126,2004/02632,0.015186916,0.015186916,0,0.018691589,0.042056075,0.060747664,0.175233645,0.210280374,0.338785047,0.082943925,0.051401869,0.315420561,0.11682243,0.89953271,0.031542056,0.478971963,0.163551402,1.004672897,0,0.042056075,0.099299065,0.23364486,0.071261682,0.280373832,0.018691589,85.6,0.151869159,0.033878505,0.001051402,0.02453271,0.071261682,1.285046729,0.549065421,0.327102804,0.001168224,0.044392523,2.219626168,0.047897196,0.001168224,0.514018692,0.338785047,0.001168224,0.058411215,0.086448598,0.001168224,0.146028037,0.002920561,0.002920561,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,25/07/1996,exact,1996,off Whitby,North Yorkshire,East coast,England,NZ99561084,499560,510840,54.4829919,-0.463097364,F,100,FALSE,FALSE,entangled,freshly dead (code 2a),verified,TRUE,EW,XT656/96,656/96,juvenile,25/07/1996,slight decomposition (code 2b),FALSE,Paul Jepson,"physical trauma, by-catch (known)",Bycatch (known),Trauma,FALSE,,0,20,100,69,23,21,21,NA,NA,NA,NA,,1,NA,2.161214953,4.76635514,3.314252336,HP,25/07/1996,2397,0.171029566,-0.46904202,Greater North Sea,Northern North Sea
3,58,SW1996/175,2004/02634,0.008139535,0.011627907,0,0.026744186,0.039534884,0.06744186,0.162790698,0.197674419,0.38372093,0.1,0.040697674,0.395348837,0.174418605,1.279069767,0.062790698,0.662790698,0.23255814,1.511627907,0.030232558,0.056976744,0.244186047,0.534883721,0.139534884,0.558139535,0.051162791,86,0.209302326,0.036046512,0.001162791,0.023255814,0.065116279,1.023255814,0.360465116,0.441860465,0.001162791,0.001162791,0.418604651,0.01627907,0.001162791,0.115116279,0.058139535,0.001162791,0.013953488,0.023255814,0.001162791,0.039534884,0.002906977,0.002906977,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,09/12/1996,exact,1996,Nolton Haven,Pembrokeshire,West coast,Wales,SM85701850,185700,218500,51.8235086,-5.110051769,F,137,FALSE,FALSE,dead stranded,freshly dead (code 2a),verified,TRUE,EW,XT1205/96,1205/96,juvenile,10/12/1996,freshly dead (code 2a),FALSE,Paul Jepson,"physical trauma, by-catch",Bycatch,Trauma,FALSE,,1,33,137,78,22,20,20,NA,NA,NA,NA,,1,NA,1.825581395,6.972093023,0.651162791,HP,09/12/1996,2534,-0.115046975,-0.679784116,Celtic Sea,Irish and Celtic
4,176,SW2001/40,2004/02635,0.01475931,0.017029973,0.001135332,0.023841962,0.063578565,0.063578565,0.181653043,0.261126249,0.317892825,0.082879201,0.047683924,0.386012716,0.272479564,2.270663034,0.049954587,1.135331517,0.374659401,3.065395095,0,0.124886467,0.544959128,1.248864668,0.374659401,1.36239782,0.158946412,88.08,0.113533152,0.017029973,0.001021798,0.020435967,0.069255223,0.70390554,0.32924614,0.204359673,0.001135332,0.001135332,0.363306085,0.001135332,0.001135332,0.076067212,0.106721163,0.001135332,0.021571299,0.031789282,0.001135332,0.993415077,0.027247956,0.01475931,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,05/03/2001,exact,2001,Swansea Beach,Swansea,West coast,Wales,SS649917,264900,191700,51.60743417,-3.95119219,F,105,FALSE,FALSE,dead stranded,freshly dead (code 2a),verified,TRUE,EW,XT1008/01,1008/01,juvenile,02/10/2001,freshly dead (code 2a),TRUE,Paul Jepson,physical trauma,Physical Trauma,Trauma,FALSE,,0,26,105,79,22,24,23,NA,NA,NA,NA,,1,NA,1.237511353,12.44436876,0.60626703,HP,05/03/2001,4081,0.311445545,0.315977127,Celtic Sea,Irish and Celtic
5,191,SW2001/123,2004/02636,0,0.013227513,0,0.010582011,0.023809524,0.03042328,0.052910053,0.082010582,0.145502646,0.075396825,0.035714286,0.264550265,0.132275132,0.85978836,0.031746032,0.291005291,0.091269841,1.084656085,0.027777778,0.055555556,0.198412698,0.502645503,0.132275132,0.277777778,0.054232804,75.6,0.064814815,0.017195767,0.001190476,0.015873016,0.027777778,0.304232804,0.145502646,0.10978836,0.001322751,0.001322751,0.238095238,0.001322751,0.001322751,0.001322751,0.055555556,0.001322751,0.001322751,0.013227513,0.001322751,0.935185185,0.002645503,0.002645503,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,13/06/2001,exact,2001,Pembrey Country Park,Carmarthenshire,West coast,Wales,SS414989,241400,198900,51.66599797,-4.293584703,M,82,FALSE,FALSE,dead stranded,slight decomposition (code 2b),verified,TRUE,EW,XT996/01,996/01,juvenile,26/09/2001,slight decomposition (code 2b),TRUE,Paul Jepson,physical trauma,Physical Trauma,Trauma,FALSE,,0,7,82,47,10,10,12,NA,3,3,NA,,1,NA,0.55952381,4.473544974,0.317460317,HP,13/06/2001,4181,-0.382775542,-1.348131386,Celtic Sea,Irish and Celtic
6,210,SW2001/210,2004/02637,0.011091393,0.019964508,0,0.021073647,0.068766637,0.065439219,0.255102041,0.266193434,0.343833185,0.110913931,0.045474712,0.521295475,0.266193434,1.774622893,0.043256433,0.909494232,0.277284827,2.440106477,0,0.104259095,0.410381544,0.942768412,0.244010648,0.942768412,0.110913931,90.16,0.255102041,0.01663709,0.000998225,0.01663709,0.06433008,1.109139308,0.676574978,0.210736469,0.001109139,0.001109139,0.454747116,0.001109139,0.001109139,0.098713398,0.122005324,0.001109139,0.024401065,0.041038154,0.001109139,1.785714286,0.002772848,0.002772848,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,18/09/2001,exact,2001,Poppit Sands,Pembrokeshire,West coast,Wales,SN136495,213600,249500,52.11194644,-4.722508406,M,110,FALSE,FALSE,dead stranded,freshly dead (code 2a),verified,TRUE,EW,XT980/01,980/01,juvenile,19/09/2001,freshly dead (code 2a),FALSE,Paul Jepson,"physical trauma, bottlenose dolphin attack","Physical Trauma, Bottlenose Dolphin Attack",Trauma,FALSE,,NA,26,110,75,24,22,24,NA,6,7,NA,,1,NA,1.996450754,10.19520852,0.747559894,HP,18/09/2001,4278,0.195171369,0.202835456,Irish Sea,Irish and Celtic
7,214,SW2001/251,2004/02638,0.021243292,0.015652952,0,0.023479428,0.145348837,0.070438283,0.52549195,0.648479428,0.368962433,0.167710197,0.038014311,0.648479428,0.469588551,3.242397138,0.040250447,2.012522361,0.648479428,4.360465116,0,0.234794275,0.715563506,1.788908766,0.52549195,1.788908766,0.178890877,89.44,0.313059034,0.01677102,0.001006261,0.021243292,0.108452594,1.341681574,0.782647585,0.324239714,0.001118068,0.001118068,0.491949911,0.001118068,0.001118068,0.122987478,0.134168157,0.001118068,0.034660107,0.044722719,0.001118068,1.665921288,0.01677102,0.00279517,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,09/11/2001,exact,2001,Aberavon,Neath Port Talbot,West coast,Wales,SS740899,274000,189900,51.59336639,-3.81919192,F,108,FALSE,FALSE,dead stranded,freshly dead (code 2a),verified,TRUE,EW,XT1102/01,1102/01,juvenile,15/11/2001,freshly dead (code 2a),FALSE,Paul Jepson,"physical trauma, by-catch",Bycatch,Trauma,FALSE,,0,23,108,70,23,23,22,NA,NA,NA,NA,,1,NA,2.448568873,18.67956172,0.83519678,HP,09/11/2001,4330,0.118431692,0.499545685,Celtic Sea,Irish and Celtic
8,221,SW2002/3,2004/02640,0.003427788,0.018281536,0,0.013711152,0.043418647,0.051416819,0.10511883,0.171389397,0.251371115,0.090265082,0.042276051,0.354204753,0.182815356,1.256855576,0.054844607,0.571297989,0.194241316,1.485374771,0,0.077696527,0.308500914,0.799817185,0.217093236,0.639853748,0.125685558,87.52,0.034277879,0.015996344,0.001028336,0.015996344,0.030850091,0.411334552,0.159963437,0.100548446,0.001142596,0.001142596,0.331352834,0.001142596,0.001142596,0.094835466,0.071983547,0.001142596,0.015996344,0.021709324,0.001142596,1.211151737,0.013711152,0.019424132,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,04/01/2002,exact,2002,Swansea,Swansea,West coast,Wales,SS624904,262400,190400,51.59514568,-3.986765363,F,122,FALSE,FALSE,dead stranded,freshly dead (code 2a),verified,TRUE,EW,XT010/02,010/02,juvenile,08/01/2002,freshly dead (code 2a),FALSE,Paul Jepson,"physical trauma, by-catch",Bycatch,Trauma,FALSE,,1,36,122,85,24,30,27,NA,NA,NA,NA,,1,NA,0.671846435,7.058957952,0.54273309,HP,04/01/2002,4386,0.261799636,-0.307670444,Celtic Sea,Irish and Celtic
9,231,SW2002/170,2004/02642,0.171076642,0.018248175,0.021669708,0.043339416,0.107208029,0.072992701,0.44479927,0.364963504,0.399178832,0.082116788,0.039917883,0.536040146,0.479014599,4.105839416,0.049041971,1.482664234,0.399178832,5.930656934,0,0.205291971,0.775547445,1.824817518,0.479014599,1.596715328,0.193886861,87.68,0.296532847,0.015967153,0.00102646,0.014826642,0.125456204,2.052919708,1.300182482,0.387773723,0.001140511,0.001140511,0.786952555,0.001140511,0.001140511,0.125456204,0.307937956,0.001140511,0.079835766,0.148266423,0.001140511,20.0729927,0.010264599,0.002851277,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,17/04/2002,exact,2002,"Porth y post, nr Trearddur Bay",Anglesey,West coast,Wales,SH243796,224300,379600,53.28393052,-4.635915122,M,124,FALSE,FALSE,dead stranded,slight decomposition (code 2b),verified,TRUE,EW,XT425/02,425/02,juvenile,22/04/2002,slight decomposition (code 2b),FALSE,Paul Jepson,"physical trauma, bottlenose dolphin attack","Physical Trauma, Bottlenose Dolphin Attack",Trauma,FALSE,,NA,33,124,83,21,24,23,NA,9,9,NA,,1,NA,3.740875912,19.8232208,1.455291971,HP,17/04/2002,4489,0.134145997,0.970437048,Irish Sea,Irish and Celtic
10,235,SW2002/214,2004/02643,0.053667263,0.01118068,0.006708408,0.021243292,0.042486583,0.042486583,0.145348837,0.033542039,0.223613596,0.036896243,0.023479428,0.313059034,0.201252236,1.341681574,0.033542039,0.480769231,0.156529517,1.56529517,0.020125224,0.065966011,0.268336315,0.614937388,0.156529517,0.581395349,0.081618962,89.44,0.134168157,0.015652952,0.001006261,0.014534884,0.045840787,0.749105546,0.357781753,0.245974955,0.001118068,0.001118068,0.301878354,0.001118068,0.001118068,0.065966011,0.083855098,0.001118068,0.019007156,0.031305903,0.001118068,17.10644007,0.008944544,0.008944544,Blubber,porp_mast,Cetacean,Single,Phocoena phocoena,Harbour porpoise,FALSE,18/06/2002,exact,2002,Tal-y-Bont,Gwynedd,West coast,Wales,SH580213,258000,321300,52.77026177,-4.105091396,F,133,FALSE,FALSE,dead stranded,freshly dead (code 2a),verified,TRUE,EW,XT604/02,604/02,juvenile,25/06/2002,slight decomposition (code 2b),FALSE,Paul Jepson,"physical trauma, bottlenose dolphin attack","Physical Trauma, Bottlenose Dolphin Attack",Trauma,FALSE,,NA,34,133,85,17,16,16,NA,NA,NA,NA,,1,NA,1.352862254,6.521690519,0.50872093,HP,18/06/2002,4551,-0.011130991,-0.516430499,Irish Sea,Irish and Celtic
