"nobs","tailyrs","area"
NA,10,"all"
NA,15,"all"
6.87387387387387,20,"all"
2.87387387387387,27,"all"
NA,10,"hp_Celtic Sea"
15.6396396396396,15,"hp_Celtic Sea"
6.30630630630631,20,"hp_Celtic Sea"
5.56756756756757,21,"hp_Celtic Sea"
NA,10,"hp_Greater North Sea"
NA,15,"hp_Greater North Sea"
12.0540540540541,20,"hp_Greater North Sea"
4.97297297297297,27,"hp_Greater North Sea"
NA,10,"hp_Irish Sea"
9.45945945945946,15,"hp_Irish Sea"
4.43243243243243,20,"hp_Irish Sea"
3.69369369369369,22,"hp_Irish Sea"
5.2972972972973,10,"hp_Western Scotland AU"
2.46846846846847,13,"hp_Western Scotland AU"
NA,10,"ospar_Channel"
NA,15,"ospar_Channel"
19.963963963964,16,"ospar_Channel"
NA,10,"ospar_Irish and Celtic"
6.55855855855856,15,"ospar_Irish and Celtic"
3.11711711711712,20,"ospar_Irish and Celtic"
2,25,"ospar_Irish and Celtic"
NA,10,"ospar_Northern North Sea"
NA,15,"ospar_Northern North Sea"
NA,20,"ospar_Northern North Sea"
10.9009009009009,26,"ospar_Northern North Sea"
NA,10,"ospar_Southern North Sea"
18.5765765765766,15,"ospar_Southern North Sea"
7.69369369369369,20,"ospar_Southern North Sea"
4.57657657657658,25,"ospar_Southern North Sea"
15.3333333333333,8,"ospar_Western Scotland AA"
