"nobs","pchange_80","name","obs_window","area"
12,-0.147914791479148,"min",6,"all_sum_res"
20,-0.113531353135314,"max",6,"all_sum_res"
6,NA,"low",6,"all_sum_res"
10,NA,"medium",6,"all_sum_res"
18,-0.12019201920192,"high",6,"all_sum_res"
4,-0.123447344734473,"min",10,"all_sum_res"
20,-0.0548154815481548,"max",10,"all_sum_res"
6,-0.0985298529852985,"low",10,"all_sum_res"
10,-0.076042604260426,"medium",10,"all_sum_res"
18,-0.0584158415841584,"high",10,"all_sum_res"
11,-0.147149714971497,"min",6,"hpCeltic Sea"
20,-0.110801080108011,"max",6,"hpCeltic Sea"
6,NA,"low",6,"hpCeltic Sea"
10,NA,"medium",6,"hpCeltic Sea"
18,-0.116591659165917,"high",6,"hpCeltic Sea"
3,-0.137788778877888,"min",10,"hpCeltic Sea"
20,-0.0533003300330033,"max",10,"hpCeltic Sea"
6,-0.0951395139513951,"low",10,"hpCeltic Sea"
10,-0.0734623462346235,"medium",10,"hpCeltic Sea"
18,-0.0561506150615061,"high",10,"hpCeltic Sea"
12,-0.145544554455446,"min",6,"hpGreater North Sea"
20,-0.113366336633663,"max",6,"hpGreater North Sea"
6,NA,"low",6,"hpGreater North Sea"
10,NA,"medium",6,"hpGreater North Sea"
18,-0.12016201620162,"high",6,"hpGreater North Sea"
4,-0.122502250225022,"min",10,"hpGreater North Sea"
20,-0.0543354335433543,"max",10,"hpGreater North Sea"
6,-0.0970747074707471,"low",10,"hpGreater North Sea"
10,-0.075967596759676,"medium",10,"hpGreater North Sea"
18,-0.0571707170717072,"high",10,"hpGreater North Sea"
10,-0.148004800480048,"min",6,"hpIrish Sea"
20,-0.107020702070207,"max",6,"hpIrish Sea"
6,NA,"low",6,"hpIrish Sea"
10,-0.148004800480048,"medium",6,"hpIrish Sea"
18,-0.112346234623462,"high",6,"hpIrish Sea"
3,-0.14020402040204,"min",10,"hpIrish Sea"
20,-0.0503150315031503,"max",10,"hpIrish Sea"
6,-0.091029102910291,"low",10,"hpIrish Sea"
10,-0.0711521152115211,"medium",10,"hpIrish Sea"
18,-0.0526702670267027,"high",10,"hpIrish Sea"
14,-0.146204620462046,"min",6,"hpWestern Scotland AU"
20,-0.122712271227123,"max",6,"hpWestern Scotland AU"
6,NA,"low",6,"hpWestern Scotland AU"
10,NA,"medium",6,"hpWestern Scotland AU"
18,-0.13003300330033,"high",6,"hpWestern Scotland AU"
4,-0.133078307830783,"min",10,"hpWestern Scotland AU"
20,-0.0602160216021602,"max",10,"hpWestern Scotland AU"
6,-0.105595559555956,"low",10,"hpWestern Scotland AU"
10,-0.0819381938193819,"medium",10,"hpWestern Scotland AU"
18,-0.0625112511251125,"high",10,"hpWestern Scotland AU"
12,-0.148784878487849,"min",6,"osparChannel"
20,-0.116321632163216,"max",6,"osparChannel"
6,NA,"low",6,"osparChannel"
10,NA,"medium",6,"osparChannel"
18,-0.123942394239424,"high",6,"osparChannel"
3,-0.149249924992499,"min",10,"osparChannel"
20,-0.0576207620762076,"max",10,"osparChannel"
6,-0.101770177017702,"low",10,"osparChannel"
10,-0.0792829282928293,"medium",10,"osparChannel"
18,-0.0591659165916592,"high",10,"osparChannel"
11,-0.146354635463546,"min",6,"osparIrish and Celtic"
20,-0.10990099009901,"max",6,"osparIrish and Celtic"
6,NA,"low",6,"osparIrish and Celtic"
10,NA,"medium",6,"osparIrish and Celtic"
18,-0.115526552655266,"high",6,"osparIrish and Celtic"
3,-0.13951395139514,"min",10,"osparIrish and Celtic"
20,-0.0515301530153015,"max",10,"osparIrish and Celtic"
6,-0.0933993399339934,"low",10,"osparIrish and Celtic"
10,-0.0728922892289229,"medium",10,"osparIrish and Celtic"
18,-0.0547704770477048,"high",10,"osparIrish and Celtic"
12,-0.144614461446145,"min",6,"osparNorthern North Sea"
20,-0.113231323132313,"max",6,"osparNorthern North Sea"
6,NA,"low",6,"osparNorthern North Sea"
10,NA,"medium",6,"osparNorthern North Sea"
18,-0.121302130213021,"high",6,"osparNorthern North Sea"
3,-0.147419741974197,"min",10,"osparNorthern North Sea"
20,-0.0538553855385539,"max",10,"osparNorthern North Sea"
6,-0.0984998499849985,"low",10,"osparNorthern North Sea"
10,-0.0756975697569757,"medium",10,"osparNorthern North Sea"
18,-0.0582508250825083,"high",10,"osparNorthern North Sea"
11,-0.149474947494749,"min",6,"osparSouthern North Sea"
20,-0.112286228622862,"max",6,"osparSouthern North Sea"
6,NA,"low",6,"osparSouthern North Sea"
10,NA,"medium",6,"osparSouthern North Sea"
18,-0.118301830183018,"high",6,"osparSouthern North Sea"
3,-0.144704470447045,"min",10,"osparSouthern North Sea"
20,-0.0536003600360036,"max",10,"osparSouthern North Sea"
6,-0.0972547254725473,"low",10,"osparSouthern North Sea"
10,-0.0749474947494749,"medium",10,"osparSouthern North Sea"
18,-0.0570657065706571,"high",10,"osparSouthern North Sea"
9,-0.147509750975097,"min",6,"osparWestern Scotland AA"
20,-0.101110111011101,"max",6,"osparWestern Scotland AA"
6,NA,"low",6,"osparWestern Scotland AA"
10,-0.14038403840384,"medium",6,"osparWestern Scotland AA"
18,-0.106120612061206,"high",6,"osparWestern Scotland AA"
2,-0.148619861986199,"min",10,"osparWestern Scotland AA"
20,-0.048019801980198,"max",10,"osparWestern Scotland AA"
6,-0.0852985298529853,"low",10,"osparWestern Scotland AA"
10,-0.0682568256825683,"medium",10,"osparWestern Scotland AA"
18,-0.0504350435043504,"high",10,"osparWestern Scotland AA"
