"N","Mean","SD","Residual_SD","Sampling_range","Annual_decline_pct","Best_model","Assessment"
387,14.2380334181705,17.4096429092175,0.794534964763409,"1991-2017",-3.29051617349715,"Latitude + Rel.body.wt + Year","ALL UK"
73,19.5228062661096,19.5036605901983,0.768602833320349,"1993-2016",-3.36590388086071,"Rel.body.wt + Year","AU_Celtic Sea"
205,12.7132832985561,17.3086086113022,0.797397140538271,"1991-2017",-2.55102142843513,"Latitude + Rel.body.wt + Year","AU_Greater North Sea"
84,14.8554309785476,16.799348058787,0.68614840709076,"1993-2017",-3.81529227615428,"Latitude + Rel.body.wt + Year","AU_Irish Sea"
25,9.23499188016,8.88216013753518,0.706957878386329,"1996-2015",-9.85201236954274,"Latitude + Year","AU_Western Scotland AU"
32,24.6839562441875,23.2642557719345,0.83422667815822,"1994-2016",-2.85894369160513,"Rel.body.wt + Year","AA_Channel"
155,15.9702530841742,16.9487972003282,0.743365038537011,"1993-2017",-4.8521741219442,"Rel.body.wt + Year","AA_Irish and Celtic"
113,8.51105325718584,8.46594550906019,0.781267858624568,"1991-2017",-1.75861238474806,"Latitude + Rel.body.wt + Year","AA_Northern North Sea"
75,16.3718573897733,22.8768143954322,0.775295283867878,"1991-2017",-3.02507106454483,"Rel.body.wt + Year","AA_Southern North Sea"
12,4.60039855633333,3.08054899289558,0.644364470073363,"1997-2015",-7.14630822148058,"Year","AA_Western Scotland AA"
